1,   7,   1,  10
  2,  11,   7,  10
  3, 102,  95,  62
  4, 101,  61,  95
  5, 142, 139,  66
  6, 140,  54, 123
  7, 110,  15, 105
  8,  27,  23,  26
  9,  79,  28,  29
 10,  78,  12,  13
 11,  72,   1,  12
 12,  77,  13,   2
 13, 111,  14, 110
 14, 134, 133, 132
 15,  85,  34,  35
 16, 119,  83,  84
 17, 108,  19, 107
 18, 107,  20,  79
 19,  81,  29,  30
 20, 109,  79,  21
 21,  27,  22,  23
 22,  26,  23,  24
 23,  26,  24,  25
 24,  25,  24,   3
 25, 109,  27,  28
 26,  81,  79,  29
 27,  82,  81,  30
 28,  83,  82,  31
 29,  84,  33,  80
 30, 106, 105,  16
 31, 131, 106, 127
 32,  85,  80,  34
 33, 121, 120,  85
 34,  86,  85,  35
 35, 135, 118,  37
 36, 135,  68,   9
 37,  67,  38,  39
 38, 142,  40, 139
 39, 139,  41, 117
 40, 117,  41,  42
 41,  87,  42,  43
 42, 124, 122,  89
 43, 100,  98,  58
 44,  99,  90,  91
 45,  92,  91,  48
 46,  99,  92,  56
 47,  94,  92,  49
 48,  94,  55,  92
 49, 123,  94,  50
 50, 123,  50,  51
 51,  53,  52,   4
 52,  53,   4,   5
 53, 140, 123,  51
 54, 123,  54,   6
 55,  99,  98,  90
 56, 124,  90,  98
 57, 124, 100, 122
 58, 125,  88, 122
 59, 101,  97,  60
 60,  93,  43,  44
 61, 103,  63,  64
 62, 103,  64,  96
 63,  96,  65,  73
 64,  73,  65,  11
 65,  65,   7,  11
 66, 135,   9, 118
 67,  38,  68, 135
 68, 142,  66,  67
 69,  72,  10,   1
 70, 113,  78,  77
 71, 113,  71,  78
 72, 134, 132, 121
 73, 116, 115,  76
 74, 141, 102, 103
 75, 103, 102,  63
 76,  96,  73,  74
 77,  78,  71,  72
 78, 111,   2,  14
 79,  78,  72,  12
 80,  78,  13,  77
 81,  79,  20,  21
 82, 109,  21,  22
 83, 106,  17, 104
 84,  80,  33,  34
 85,  82,  30,  31
 86, 107,  79,  81
 87,  83,  31,  32
 88, 108, 107,  82
 89,  84,  83,  32
 90, 137, 119, 104
 91,  84,  32,  33
 92, 127, 106, 119
 93,  86,  35,  36
 94, 132, 105, 131
 95, 118,  86,  36
 96, 112,   9,  69
 97, 126,  93, 125
 98, 136, 117,  87
 99,  88,  44,  45
100,  89,  88,  45
101,  89,  45,  46
102,  90,  89,  46
103,  90,  46,  47
104,  91,  90,  47
105,  91,  47,  48
106,  99,  91,  92
107,  92,  48,  49
108,  92,  55,  56
109,  93,  87,  43
110,  93,  44,  88
111,  94,  49,  50
112,  94,   6,  55
113, 129, 116, 128
114,  95,  61,  62
115, 141,  74,  75
116,  96,  64,  65
117,  97,  59,  60
118, 101,  60,  61
119,  98,  57,  58
120, 100,  58,  59
121,  99,  56,  57
122,  99,  57,  98
123, 100,  59,  97
124, 122, 100,  97
125, 136, 128, 116
126, 130, 128, 126
127, 102,  62,  63
128, 115,  75,  76
129, 141,  96,  74
130, 141, 115, 102
131, 104,  17,  18
132, 108,  18,  19
133, 105,  15,  16
134, 106,  16,  17
135, 119, 106, 104
136, 131, 127, 120
137, 107,  19,  20
138, 107,  81,  82
139, 137,  82,  83
140, 108, 104,  18
141, 109,  22,  27
142, 109,  28,  79
143, 114,  70, 113
144, 110,  14,  15
145, 138, 133, 114
146, 111,  77,   2
147, 112,  86,   9
148, 114,  69,  70
149, 113,  70,  71
150, 138,  77, 111
151, 133, 111, 110
152, 114, 112,  69
153, 116,  76,   8
154, 129, 102, 115
155, 117, 116,   8
156, 136, 126, 128
157, 139, 117,   8
158, 117,  42,  87
159, 118,   9,  86
160, 118,  36,  37
161, 137, 104, 108
162, 127,  84,  80
163, 120,  80,  85
164, 121,  85,  86
165, 121,  86, 112
166, 134, 114, 133
167, 130, 122,  97
168, 122,  88,  89
169, 123,   6,  94
170, 140,  51,  52
171, 124,  89,  90
172, 124,  98, 100
173, 125,  93,  88
174, 130,  97, 101
175, 130, 126, 125
176, 126,  87,  93
177, 127, 119,  84
178, 127,  80, 120
179, 128, 101,  95
180, 129, 128,  95
181, 129,  95, 102
182, 129, 115, 116
183, 130, 125, 122
184, 130, 101, 128
185, 132, 131, 120
186, 131, 105, 106
187, 132, 110, 105
188, 132, 120, 121
189, 138, 114, 113
190, 133, 110, 132
191, 134, 121, 112
192, 134, 112, 114
193, 135,  37,  38
194,  68,  38,  67
195, 136, 116, 117
196, 136,  87, 126
197, 137, 108,  82
198, 137,  83, 119
199, 138, 113,  77
200, 138, 111, 133
201, 139,  40,  41
202, 139,   8,  66
203, 140,  52,  53
204, 140,  53,  54
205, 141, 103,  96
206, 141,  75, 115
207, 142,  67,  39
208, 142,  39,  40
209, 144,  71,  70
210, 146,  71, 144
211, 145, 144,  70
212, 143,  66,  76
213,  66,   8,  76
214, 147,  76,  75
215, 146,  72,  71
216,  72,  73,  11
217,  72,  11,  10
218, 147, 145, 143
219, 145,  68,  67
220, 145,  67, 143
221,  69,   9,  68
222, 143,  67,  66
223, 147, 144, 145
224, 147,  74, 144
225, 146, 144,  74
226, 145,  70,  69
227, 145,  69,  68
228, 146,  74,  73
229, 146,  73,  72
230, 147, 143,  76
231, 147,  75,  74
